data_extracao;descricao;estado;complemento;implantacao;logradouro_nome;num_inicial;num_final;defronte;cruzamento_nome;lado;fluxo;local_de_instal;;
2023-04-01 01:33:39.113;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;08/05/1979;AV CEL LUCAS DE OLIVEIRA;711.0;711.0;NÃO;R TITO LIVIO ZAMBECARI;IMPAR;DECRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.113;"CRIANÇAS - LEGENDA ""CRIANÇAS"" - ( 60X80 )";INSTALADO;;10/05/1979;R BRIGADEIRO OLIVEIRA NERI;65.0;0.0;NÃO;R MARECHAL SIMEAO;IMPAR;DECRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.115;PASSAGEM SINALIZADA DE ESCOLARES (ADVERTÃŠNCIA)-A33B;INSTALADO;;11/05/1979;R MUCIO TEIXEIRA;241.0;0.0;NÃO;R DEZESSETE DE JUNHO;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.115;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;11/05/1979;R GEN LIMA E SILVA;867.0;0.0;NÃO;R OCTAVIO CORREA;IMPAR;DECRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.115;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;14/05/1979;AV AZENHA;85.0;85.0;NÃO;AV IPIRANGA;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.115;PARADA OBRIGATÓRIA;INSTALADO;;14/05/1979;R VINTE DE SETEMBRO;111.0;111.0;NÃO;R GEN CALDWELL;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.115;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;14/05/1979;R BARAO DO TRIUNFO;723.0;0.0;NÃO;AV AZENHA;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.115;PONTO DE PARADA (ÔNIBUS)                     ;INSTALADO;I-23 - S1;14/05/1979;AV AZENHA;1241.0;1241.0;NÃO;R BOTAFOGO;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.116;PONTO DE PARADA (ÔNIBUS)                     ;INSTALADO;- C/PS1;15/05/1979;AV IPIRANGA;2055.0;2055.0;NÃO;R SAO LUIZ;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.116;PARADA OBRIGATÓRIA;INSTALADO;;16/05/1979;R PORTUGUESA;161.0;161.0;NÃO;R PADRE CALDAS;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.110;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;22/03/1979;R GEN VITORINO;185.0;185.0;NÃO;R DR FLORES;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.111;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;28/03/1979;R GEN VASCO ALVES;189.0;0.0;NÃO;R ANDRADAS;IMPAR;DECRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.111;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;29/03/1979;R MARECHAL FLORIANO PEIXOTO;651.0;651.0;NÃO;R CEL FERNANDO MACHADO;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.112;PONTO DE PARADA (ÔNIBUS)                     ;INSTALADO;N/#REF!;25/04/1979;R IRENE CAPPONI SANTIAGO;425.0;0.0;NÃO;R CONSELHEIRO D'AVILA;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.112;PROIBIDO ESTACIONAR - CAMINHÃO;INSTALADO;R-6A-21 - PE CAMINHÃO S1;02/05/1979;AV RIO GRANDE;237.0;227.0;NÃO;AV BRASIL;IMPAR;DECRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.112;PROIBIDO ESTACIONAR;INSTALADO;;03/05/1979;AV CEARA;1334.0;1390.0;SIM;AV PATRIA;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.112;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;03/05/1979;AV PERNAMBUCO;1909.0;1909.0;NÃO;AV POLONIA;IMPAR;DECRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.112;PARADA OBRIGATÓRIA;INSTALADO;;04/05/1979;R MOURA AZEVEDO;415.0;0.0;NÃO;AV SAO PAULO;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.112;PARADA OBRIGATÓRIA;INSTALADO;;04/05/1979;R SAO CARLOS;1113.0;1113.0;NÃO;R ALMIRANTE BARROSO;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.115;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;11/05/1979;R LUIZ AFONSO;158.0;158.0;SIM;R GEN LIMA E SILVA;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.115;PARADA OBRIGATÓRIA;INSTALADO;;11/05/1979;R JOAQUIM NABUCO;217.0;217.0;NÃO;R JOSE DO PATROCINIO;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.115;GRADIL ( METROS )                            ;INSTALADO;;11/05/1979;R JOSE DO PATROCINIO;381.0;0.0;NÃO;R REPUBLICA;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.115;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;11/05/1979;R JOSE DO PATROCINIO;851.0;847.0;NÃO;R JOAQUIM NABUCO;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.115;PROIBIDO ESTACIONAR;INSTALADO;;14/05/1979;AV BENTO GONCALVES;497.0;497.0;NÃO;R VICENTE DA FONTOURA;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.115;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;14/05/1979;R JOSE DO PATROCINIO;1011.0;0.0;NÃO;AV VENANCIO AIRES;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.116;"CRIANÇAS - LEGENDA ""CRIANÇAS"" - ( 60X80 )";INSTALADO;;15/05/1979;PCA DR JULIO DE ARAGAO BOZANO;25.0;0.0;NÃO;R RAMIRO BARCELOS;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.116;"CRIANÇAS - LEGENDA ""CRIANÇAS"" - ( 60X80 )";INSTALADO;;15/05/1979;PCA DR JULIO DE ARAGAO BOZANO;28.0;0.0;NÃO;TRAV FERREIRA DE ABREU;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.109;DIVISÃO DE PISTA CONTÍNUA (AMARELA);INSTALADO;;01/08/2000;R CAIEIRA;175.0;175.0;NÃO;R TIJUCA;IMPAR;NULO;LEITO DA VIA     ;;
2023-04-01 01:33:39.109;FAIXA DE TRAVESSIA DE PEDESTRES (ZEBRADA);INSTALADO;- 10TJ - 04MX0,40M, PINTURA BICOMPONENTE;20/12/1978;AV NONOAI;711.0;713.0;NÃO;AV CRUZ ALTA;IMPAR;CRESCENTE;LEITO DA VIA     ;;
2023-04-01 01:33:39.109;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;21/03/1979;R DR FLORES;11.0;0.0;NÃO;R VOLUNTARIOS DA PATRIA;IMPAR;DECRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.112;PARADA OBRIGATÓRIA;INSTALADO;;30/03/1979;R MARECHAL FLORIANO PEIXOTO;777.0;0.0;NÃO;R DEMETRIO RIBEIRO;IMPAR;CRESCENTE;CALCADA          ;;
